longitude	latitude
103.6	29.27
103.54	29.4
103.55	29.41
103.64	29.24
103.66	29.3
103.47	29.36
103.68	29.32
103.71	29.33
103.58	29.47
103.61	29.5
103.66	29.4
103.66	29.39
103.6	29.29
103.57	29.32
103.56	29.37
103.63	29.44
103.59	29.44
103.64	29.19
103.02	29.19
103.05	29.37
103.01	29.18
103.09	29.28
103.07	29.37
103.5	29.64
103.35	29.29
103.37	29.36
103.55	29.6
103.6	29.59
103.49	29.6
103.46	29.6
103.55	29.49
103.51	29.68
103.57	29.59
103.6	29.62
103.38	29.65
103.42	29.69
103.46	29.71
103.5	29.71
103.44	29.63
103.46	29.65
103.42	29.48
103.56	29.66
103.48	29.62
103.42	29.51
103.39	29.58
103.44	29.56
103.39	29.55
103.41	29.57
103.48	29.61
103.41	29.56
103.35	29.56
103.45	29.57
103.36	29.55
103.41	29.59
103.36	29.56
103.34	29.52
103.57	29.55
103.45	29.7
103.43	29.68
103.29	29.37
103.35	29.33
103.39	29.5
103.57	29.6
103.38	29.49
103.43	29.53
103.43	29.62
103.32	29.4
103.46	29.51
103.49	29.54
103.5	29.57
103.51	29.5
103.51	29.59
103.45	29.69
103.42	29.44
103.44	29.58
103.47	29.51
103.48	29.65
103.77	29.24
103.1	29.37
103.96	29.36
103.84	29.31
104.03	29.06
103.12	29.36
103.81	29.46
103.73	29.27
104.13	29.08
103.94	29.09
104.02	29.05
103.78	29.2
103.88	29.11
103.87	29.11
103.84	29.32
103.39	29.72
103.47	29.73
103.36	29.73
103.56	29.83
103.45	29.75
103.39	29.73
103.35	29.73
103.47	29.75
103.38	29.75
103.44	29.81
103.56	29.69
103.41	29.77
103.49	29.79
103.35	29.77
103.37	29.71
103.64	29.16
103.9	29.02
103.89	29.03
103.94	29.04
103.88	29.06
103.99	28.99
103.01	29.97
103.01	28.87
103.02	29.03
103.04	29.99
104.11	28.96
104.11	28.99
103.77	29.11
104.05	29.02
103.78	29.1
103.91	28.97
103.71	29.08
104.01	28.91
103.66	28.99
103.94	28.86
103.91	28.88
104.02	28.94
104.01	28.92
104.02	28.98
104.11	29
103.71	29.16
103.17	29.11
103.17	28.11
103.11	29.16
103.25	29.17
103.18	29.17
103.2	29.21
103.16	29.13
103.54	28.79
103.37	29.29
103.4	29.22
103.16	29.11
103.55	28.84
103.47	28.71
103.36	28.88
103.55	28.92
103.55	28.89
103.55	28.79
103.55	28.88
103.6	28.96
103.55	28.85
103.52	28.96
103.54	28.95
103.52	28.93
103.66	28.8
103.74	28.8
103.54	28.82
103.56	28.87
103.63	28.92
103.58	28.97
103.7	28.8
103.65	28.81
103.79	28.84
103.76	29.44
103.8	28.61
103.79	28.8
103.87	28.77
104.26	28.84
104.32	28.81
104.32	28.75
104.27	28.76
104.11	28.7
104.16	28.73
104.3	28.8
104.36	28.71
104.34	28.72
104.05	28.76
104.08	28.71
104	28.8
103.88	28.78
103.78	28.76
104.22	28.73
104.3	28.74
